country,iso_code,year,hdi,suicide_rate,gdp_per_capita,log_gdp_per_capita,income_group,continent,data_quality_score,development_category,suicide_category,hdi_change_5yr,suicide_change_5yr,gdp_percentile,progress_paradox,regional_hdi_avg,regional_suicide_avg
Afghanistan,AFG,2019,0.492,3.63,485.022544338633,6.184195373029613,Low,Asia,1,Low Development,Low Suicide Rate,,,0.040983606557377046,0,0.736551724137931,6.4351724137931035
Afghanistan,AFG,2020,0.488,3.63,485.022544338633,6.184195373029613,Low,Asia,0,Low Development,Low Suicide Rate,,,0.03205128205128205,0,0.7196097560975611,6.323170731707317
Afghanistan,AFG,2022,0.462,3.6,485.022544338633,6.184195373029613,Low,Asia,1,Low Development,Low Suicide Rate,,,0.03773584905660377,0,0.7232857142857143,6.243333333333332
Afghanistan,AFG,2023,0.496,3.6,485.022544338633,6.184195373029613,Low,Asia,1,Low Development,Low Suicide Rate,,,0.03870967741935484,0,0.7436499999999999,6.434
Angola,AGO,2020,0.594,6.9,2528.2065526619567,7.835265457887051,Lower-Middle,Africa,0,Medium Development,Medium Suicide Rate,,,0.3333333333333333,0,0.55962,7.2274
Angola,AGO,2022,0.591,6.95,2528.2065526619567,7.835265457887051,Lower-Middle,Africa,1,Medium Development,Medium Suicide Rate,,,0.33962264150943394,0,0.5567115384615384,7.16423076923077
Angola,AGO,2023,0.616,6.95,2528.2065526619567,7.835265457887051,Lower-Middle,Africa,1,Medium Development,Medium Suicide Rate,,,0.3419354838709677,0,0.5748,6.891
Albania,ALB,2019,0.8,4.02,4702.593150952894,8.455869369794069,Lower-Middle,Europe,1,Very High Development,Low Suicide Rate,,,0.4672131147540984,0,0.858095238095238,12.876428571428571
Albania,ALB,2020,0.784,4.02,4702.593150952894,8.455869369794069,Lower-Middle,Europe,0,High Development,Low Suicide Rate,,,0.5256410256410257,0,0.8437391304347825,12.900652173913045
Albania,ALB,2022,0.789,4.1,4702.593150952894,8.455869369794069,Lower-Middle,Europe,1,High Development,Low Suicide Rate,,,0.5283018867924528,0,0.8485217391304348,12.843478260869563
Albania,ALB,2023,0.81,4.1,4702.593150952894,8.455869369794069,Lower-Middle,Europe,1,Very High Development,Low Suicide Rate,,,0.5161290322580645,0,0.8680434782608696,12.843478260869563
Argentina,ARG,2019,0.853,11.01,12577.970303337312,9.439702174100288,Upper-Middle,America,1,Very High Development,High Suicide Rate,,,0.7459016393442623,1,0.7650357142857143,6.881428571428572
Argentina,ARG,2020,0.841,11.01,12577.970303337312,9.439702174100288,Upper-Middle,America,0,Very High Development,High Suicide Rate,,,0.782051282051282,1,0.7478387096774194,6.880967741935484
Argentina,ARG,2022,0.849,10.47,12577.970303337312,9.439702174100288,Upper-Middle,America,1,Very High Development,High Suicide Rate,,,0.7861635220125787,1,0.7529032258064516,6.940967741935483
Argentina,ARG,2023,0.865,10.47,12577.970303337312,9.439702174100288,Upper-Middle,America,1,Very High Development,High Suicide Rate,,,0.7806451612903226,1,0.7696774193548387,6.940967741935483
Armenia,ARM,2019,0.789,5.6,4291.837438532645,8.364470227574918,Lower-Middle,Asia,1,High Development,Medium Suicide Rate,,,0.4262295081967213,0,0.736551724137931,6.4351724137931035
Armenia,ARM,2020,0.769,5.6,4291.837438532645,8.364470227574918,Lower-Middle,Asia,0,High Development,Medium Suicide Rate,,,0.4935897435897436,0,0.7196097560975611,6.323170731707317
Armenia,ARM,2022,0.786,5.53,4291.837438532645,8.364470227574918,Lower-Middle,Asia,1,High Development,Medium Suicide Rate,,,0.4968553459119497,0,0.7232857142857143,6.243333333333332
Armenia,ARM,2023,0.811,5.53,4291.837438532645,8.364470227574918,Lower-Middle,Asia,1,Very High Development,Medium Suicide Rate,,,0.4838709677419355,0,0.7436499999999999,6.434
Antigua and Barbuda,ATG,2019,0.831,1.49,17011.981287785093,9.741673156430824,Upper-Middle,America,1,Very High Development,Low Suicide Rate,,,0.8524590163934426,0,0.7650357142857143,6.881428571428572
