Country Name,ISO3,Year,HDI,Suicide_rate,GDP_per_capita,log_GDP_per_capita,income_group_auto,continent,Low_data_quality_flag,HDI_sq,Suicide_rate_lag1,HDI_lag1,Low_data_quality_flag_panel
Afghanistan,AFG,2010,0.449,,485.022544338633,6.184195373029613,Low,Asia,✅ Sufficient data,0.201601,,,⚠️ Low data reliability
Afghanistan,AFG,2019,0.492,,485.022544338633,6.184195373029613,Low,Asia,✅ Sufficient data,0.242064,,0.449,⚠️ Low data reliability
Afghanistan,AFG,2020,0.488,3.63,485.022544338633,6.184195373029613,Low,Asia,✅ Sufficient data,0.238144,,0.492,✅ Sufficient data
Afghanistan,AFG,2021,0.473,3.6,485.022544338633,6.184195373029613,Low,Asia,✅ Sufficient data,0.22372899999999998,3.63,0.488,✅ Sufficient data
Afghanistan,AFG,2022,0.462,,485.022544338633,6.184195373029613,Low,Asia,✅ Sufficient data,0.21344400000000002,3.6,0.473,⚠️ Low data reliability
Afghanistan,AFG,2023,0.496,,485.022544338633,6.184195373029613,Low,Asia,✅ Sufficient data,0.24601599999999998,,0.462,⚠️ Low data reliability
Angola,AGO,2010,0.516,,2528.2065526619567,7.835265457887051,Lower-Middle,Africa,✅ Sufficient data,0.266256,,,⚠️ Low data reliability
Angola,AGO,2019,0.597,,2528.2065526619567,7.835265457887051,Lower-Middle,Africa,✅ Sufficient data,0.356409,,0.516,⚠️ Low data reliability
Angola,AGO,2020,0.594,6.9,2528.2065526619567,7.835265457887051,Lower-Middle,Africa,✅ Sufficient data,0.352836,,0.597,✅ Sufficient data
Angola,AGO,2021,0.59,6.95,2528.2065526619567,7.835265457887051,Lower-Middle,Africa,✅ Sufficient data,0.34809999999999997,6.9,0.594,✅ Sufficient data
Angola,AGO,2022,0.591,,2528.2065526619567,7.835265457887051,Lower-Middle,Africa,✅ Sufficient data,0.34928099999999995,6.95,0.59,⚠️ Low data reliability
Angola,AGO,2023,0.616,,2528.2065526619567,7.835265457887051,Lower-Middle,Africa,✅ Sufficient data,0.379456,,0.591,⚠️ Low data reliability
Albania,ALB,2010,0.766,,4702.593150952894,8.455869369794069,Lower-Middle,Europe,✅ Sufficient data,0.586756,,,⚠️ Low data reliability
Albania,ALB,2019,0.8,,4702.593150952894,8.455869369794069,Lower-Middle,Europe,✅ Sufficient data,0.6400000000000001,,0.766,⚠️ Low data reliability
Albania,ALB,2020,0.784,4.02,4702.593150952894,8.455869369794069,Lower-Middle,Europe,✅ Sufficient data,0.6146560000000001,,0.8,✅ Sufficient data
Albania,ALB,2021,0.785,4.1,4702.593150952894,8.455869369794069,Lower-Middle,Europe,✅ Sufficient data,0.616225,4.02,0.784,✅ Sufficient data
Albania,ALB,2022,0.789,,4702.593150952894,8.455869369794069,Lower-Middle,Europe,✅ Sufficient data,0.6225210000000001,4.1,0.785,⚠️ Low data reliability
Albania,ALB,2023,0.81,,4702.593150952894,8.455869369794069,Lower-Middle,Europe,✅ Sufficient data,0.6561000000000001,,0.789,⚠️ Low data reliability
Andorra,AND,2010,0.863,,37966.89712292873,10.544469930711744,High,Europe,⚠️ Low data reliability,0.744769,,,⚠️ Low data reliability
Andorra,AND,2019,0.865,,37966.89712292873,10.544469930711744,High,Europe,⚠️ Low data reliability,0.748225,,0.863,⚠️ Low data reliability
Andorra,AND,2020,0.843,7.92,37966.89712292873,10.544469930711744,High,Europe,⚠️ Low data reliability,0.710649,,0.865,✅ Sufficient data
Andorra,AND,2021,0.855,7.89,37966.89712292873,10.544469930711744,High,Europe,⚠️ Low data reliability,0.7310249999999999,7.92,0.843,✅ Sufficient data
Andorra,AND,2022,0.884,,37966.89712292873,10.544469930711744,High,Europe,⚠️ Low data reliability,0.781456,7.89,0.855,⚠️ Low data reliability
Andorra,AND,2023,0.913,,37966.89712292873,10.544469930711744,High,Europe,⚠️ Low data reliability,0.8335690000000001,,0.884,⚠️ Low data reliability
United Arab Emirates,ARE,2010,0.828,,42124.56343493583,10.648386304038606,High,Asia,✅ Sufficient data,0.685584,,,⚠️ Low data reliability
United Arab Emirates,ARE,2019,0.933,,42124.56343493583,10.648386304038606,High,Asia,✅ Sufficient data,0.8704890000000001,,0.828,⚠️ Low data reliability
United Arab Emirates,ARE,2020,0.93,2.69,42124.56343493583,10.648386304038606,High,Asia,✅ Sufficient data,0.8649000000000001,,0.933,✅ Sufficient data
United Arab Emirates,ARE,2021,0.931,2.37,42124.56343493583,10.648386304038606,High,Asia,✅ Sufficient data,0.8667610000000001,2.69,0.93,✅ Sufficient data
United Arab Emirates,ARE,2022,0.937,,42124.56343493583,10.648386304038606,High,Asia,✅ Sufficient data,0.8779690000000001,2.37,0.931,⚠️ Low data reliability
United Arab Emirates,ARE,2023,0.94,,42124.56343493583,10.648386304038606,High,Asia,✅ Sufficient data,0.8835999999999999,,0.937,⚠️ Low data reliability
Argentina,ARG,2010,0.834,,12577.970303337312,9.439702174100288,Upper-Middle,America,✅ Sufficient data,0.695556,,,⚠️ Low data reliability
Argentina,ARG,2019,0.853,,12577.970303337312,9.439702174100288,Upper-Middle,America,✅ Sufficient data,0.727609,,0.834,⚠️ Low data reliability
Argentina,ARG,2020,0.841,11.01,12577.970303337312,9.439702174100288,Upper-Middle,America,✅ Sufficient data,0.7072809999999999,,0.853,✅ Sufficient data
Argentina,ARG,2021,0.844,10.47,12577.970303337312,9.439702174100288,Upper-Middle,America,✅ Sufficient data,0.712336,11.01,0.841,✅ Sufficient data
Argentina,ARG,2022,0.849,,12577.970303337312,9.439702174100288,Upper-Middle,America,✅ Sufficient data,0.7208009999999999,10.47,0.844,⚠️ Low data reliability
Argentina,ARG,2023,0.865,,12577.970303337312,9.439702174100288,Upper-Middle,America,✅ Sufficient data,0.748225,,0.849,⚠️ Low data reliability
Armenia,ARM,2010,0.739,,4291.837438532645,8.364470227574918,Lower-Middle,Asia,✅ Sufficient data,0.546121,,,⚠️ Low data reliability
Armenia,ARM,2019,0.789,,4291.837438532645,8.364470227574918,Lower-Middle,Asia,✅ Sufficient data,0.6225210000000001,,0.739,⚠️ Low data reliability
Armenia,ARM,2020,0.769,5.6,4291.837438532645,8.364470227574918,Lower-Middle,Asia,✅ Sufficient data,0.591361,,0.789,✅ Sufficient data
Armenia,ARM,2021,0.774,5.53,4291.837438532645,8.364470227574918,Lower-Middle,Asia,✅ Sufficient data,0.599076,5.6,0.769,✅ Sufficient data
Armenia,ARM,2022,0.786,,4291.837438532645,8.364470227574918,Lower-Middle,Asia,✅ Sufficient data,0.617796,5.53,0.774,⚠️ Low data reliability
Armenia,ARM,2023,0.811,,4291.837438532645,8.364470227574918,Lower-Middle,Asia,✅ Sufficient data,0.6577210000000001,,0.786,⚠️ Low data reliability
American Samoa,ASM,2020,,8.46,,,,,,,,,⚠️ Low data reliability
American Samoa,ASM,2021,,8.04,,,,,,,8.46,,⚠️ Low data reliability
Antigua and Barbuda,ATG,2010,0.808,,17011.981287785093,9.741673156430824,Upper-Middle,America,✅ Sufficient data,0.6528640000000001,,,⚠️ Low data reliability
Antigua and Barbuda,ATG,2019,0.831,,17011.981287785093,9.741673156430824,Upper-Middle,America,✅ Sufficient data,0.690561,,0.808,⚠️ Low data reliability
Antigua and Barbuda,ATG,2020,0.82,1.49,17011.981287785093,9.741673156430824,Upper-Middle,America,✅ Sufficient data,0.6723999999999999,,0.831,✅ Sufficient data
Antigua and Barbuda,ATG,2021,0.819,1.38,17011.981287785093,9.741673156430824,Upper-Middle,America,✅ Sufficient data,0.6707609999999999,1.49,0.82,✅ Sufficient data
Antigua and Barbuda,ATG,2022,0.826,,17011.981287785093,9.741673156430824,Upper-Middle,America,✅ Sufficient data,0.6822759999999999,1.38,0.819,⚠️ Low data reliability
Antigua and Barbuda,ATG,2023,0.851,,17011.981287785093,9.741673156430824,Upper-Middle,America,✅ Sufficient data,0.724201,,0.826,⚠️ Low data reliability
Australia,AUS,2010,0.924,,59174.9250323034,10.988253167500154,High,Oceania,✅ Sufficient data,0.8537760000000001,,,⚠️ Low data reliability
Australia,AUS,2019,0.941,,59174.9250323034,10.988253167500154,High,Oceania,✅ Sufficient data,0.8854809999999999,,0.924,⚠️ Low data reliability
Australia,AUS,2020,0.948,12.87,59174.9250323034,10.988253167500154,High,Oceania,✅ Sufficient data,0.898704,,0.941,✅ Sufficient data
Australia,AUS,2021,0.949,12.86,59174.9250323034,10.988253167500154,High,Oceania,✅ Sufficient data,0.9006009999999999,12.87,0.948,✅ Sufficient data
Australia,AUS,2022,0.946,,59174.9250323034,10.988253167500154,High,Oceania,✅ Sufficient data,0.8949159999999999,12.86,0.949,⚠️ Low data reliability
Australia,AUS,2023,0.958,,59174.9250323034,10.988253167500154,High,Oceania,✅ Sufficient data,0.9177639999999999,,0.946,⚠️ Low data reliability
Austria,AUT,2010,0.903,,45699.04219450495,10.729832618117912,High,Europe,✅ Sufficient data,0.815409,,,⚠️ Low data reliability
Austria,AUT,2019,0.92,,45699.04219450495,10.729832618117912,High,Europe,✅ Sufficient data,0.8464,,0.903,⚠️ Low data reliability
Austria,AUT,2020,0.916,14.92,45699.04219450495,10.729832618117912,High,Europe,✅ Sufficient data,0.839056,,0.92,✅ Sufficient data
Austria,AUT,2021,0.92,14.34,45699.04219450495,10.729832618117912,High,Europe,✅ Sufficient data,0.8464,14.92,0.916,✅ Sufficient data
Austria,AUT,2022,0.926,,45699.04219450495,10.729832618117912,High,Europe,✅ Sufficient data,0.8574760000000001,14.34,0.92,⚠️ Low data reliability
Austria,AUT,2023,0.93,,45699.04219450495,10.729832618117912,High,Europe,✅ Sufficient data,0.8649000000000001,,0.926,⚠️ Low data reliability
Azerbaijan,AZE,2010,0.733,,5329.110062408816,8.58093953556611,Lower-Middle,Asia,✅ Sufficient data,0.537289,,,⚠️ Low data reliability
Azerbaijan,AZE,2019,0.762,,5329.110062408816,8.58093953556611,Lower-Middle,Asia,✅ Sufficient data,0.580644,,0.733,⚠️ Low data reliability
Azerbaijan,AZE,2020,0.722,2.48,5329.110062408816,8.58093953556611,Lower-Middle,Asia,✅ Sufficient data,0.521284,,0.762,✅ Sufficient data
Azerbaijan,AZE,2021,0.738,2.5,5329.110062408816,8.58093953556611,Lower-Middle,Asia,✅ Sufficient data,0.544644,2.48,0.722,✅ Sufficient data
Azerbaijan,AZE,2022,0.76,,5329.110062408816,8.58093953556611,Lower-Middle,Asia,✅ Sufficient data,0.5776,2.5,0.738,⚠️ Low data reliability
Azerbaijan,AZE,2023,0.789,,5329.110062408816,8.58093953556611,Lower-Middle,Asia,✅ Sufficient data,0.6225210000000001,,0.76,⚠️ Low data reliability
Burundi,BDI,2010,0.404,,258.4220770660391,5.554594205820937,Low,Africa,✅ Sufficient data,0.16321600000000003,,,⚠️ Low data reliability
Burundi,BDI,2019,0.423,,258.4220770660391,5.554594205820937,Low,Africa,✅ Sufficient data,0.17892899999999998,,0.404,⚠️ Low data reliability
Burundi,BDI,2020,0.419,7.14,258.4220770660391,5.554594205820937,Low,Africa,✅ Sufficient data,0.175561,,0.423,✅ Sufficient data
Burundi,BDI,2021,0.419,7.13,258.4220770660391,5.554594205820937,Low,Africa,✅ Sufficient data,0.175561,7.14,0.419,✅ Sufficient data
Burundi,BDI,2022,0.42,,258.4220770660391,5.554594205820937,Low,Africa,✅ Sufficient data,0.17639999999999997,7.13,0.419,⚠️ Low data reliability
Burundi,BDI,2023,0.439,,258.4220770660391,5.554594205820937,Low,Africa,✅ Sufficient data,0.192721,,0.42,⚠️ Low data reliability
Belgium,BEL,2010,0.913,,42740.503514460965,10.66290230967555,High,Europe,✅ Sufficient data,0.8335690000000001,,,⚠️ Low data reliability
Belgium,BEL,2019,0.936,,42740.503514460965,10.66290230967555,High,Europe,✅ Sufficient data,0.8760960000000001,,0.913,⚠️ Low data reliability
Belgium,BEL,2020,0.93,15.93,42740.503514460965,10.66290230967555,High,Europe,✅ Sufficient data,0.8649000000000001,,0.936,✅ Sufficient data
Belgium,BEL,2021,0.938,17.3,42740.503514460965,10.66290230967555,High,Europe,✅ Sufficient data,0.8798439999999998,15.93,0.93,✅ Sufficient data
Belgium,BEL,2022,0.942,,42740.503514460965,10.66290230967555,High,Europe,✅ Sufficient data,0.8873639999999999,17.3,0.938,⚠️ Low data reliability
Belgium,BEL,2023,0.951,,42740.503514460965,10.66290230967555,High,Europe,✅ Sufficient data,0.9044009999999999,,0.942,⚠️ Low data reliability
Benin,BEN,2010,0.481,,1141.441114743784,7.040046878781859,Low,Africa,✅ Sufficient data,0.23136099999999998,,,⚠️ Low data reliability
Benin,BEN,2019,0.506,,1141.441114743784,7.040046878781859,Low,Africa,✅ Sufficient data,0.256036,,0.481,⚠️ Low data reliability
Benin,BEN,2020,0.501,5.38,1141.441114743784,7.040046878781859,Low,Africa,✅ Sufficient data,0.251001,,0.506,✅ Sufficient data
Benin,BEN,2021,0.502,5.32,1141.441114743784,7.040046878781859,Low,Africa,✅ Sufficient data,0.252004,5.38,0.501,✅ Sufficient data
Benin,BEN,2022,0.504,,1141.441114743784,7.040046878781859,Low,Africa,✅ Sufficient data,0.254016,5.32,0.502,⚠️ Low data reliability
Benin,BEN,2023,0.515,,1141.441114743784,7.040046878781859,Low,Africa,✅ Sufficient data,0.265225,,0.504,⚠️ Low data reliability
Burkina Faso,BFA,2010,0.372,,722.0384341543958,6.582078370376831,Low,Africa,✅ Sufficient data,0.138384,,,⚠️ Low data reliability
Burkina Faso,BFA,2019,0.446,,722.0384341543958,6.582078370376831,Low,Africa,✅ Sufficient data,0.198916,,0.372,⚠️ Low data reliability
Burkina Faso,BFA,2020,0.446,6.6,722.0384341543958,6.582078370376831,Low,Africa,✅ Sufficient data,0.198916,,0.446,✅ Sufficient data
Burkina Faso,BFA,2021,0.445,6.56,722.0384341543958,6.582078370376831,Low,Africa,✅ Sufficient data,0.198025,6.6,0.446,✅ Sufficient data
Burkina Faso,BFA,2022,0.438,,722.0384341543958,6.582078370376831,Low,Africa,✅ Sufficient data,0.191844,6.56,0.445,⚠️ Low data reliability
