Country Name,Year,SP.POP.0014.TO.ZS,SP.POP.1564.TO.ZS,HDI,Suicide Rate
Afghanistan,2019,44.5768321059625,53.0470145105464,0.492,4.1
Afghanistan,2020,44.2241042439322,53.4051619316696,0.488,3.63
Afghanistan,2021,43.90812524631,53.7393252349501,0.473,3.6
Africa Eastern and Southern,2019,41.66663269870302,55.17622535963114,,
Africa Eastern and Southern,2020,41.38173314951536,55.42609774848039,,
Africa Eastern and Southern,2021,41.10586621231507,55.677561018435846,,
Africa Western and Central,2019,43.19255960837772,53.89725543048035,,
Africa Western and Central,2020,42.869657803965296,54.21383813530549,,
Africa Western and Central,2021,42.51123540036556,54.564771394538326,,
Albania,2019,17.7442916565786,68.0076096803147,0.8,4.3
Albania,2020,17.5219758955011,67.7110196944345,0.784,4.02
Albania,2021,17.3674317294264,67.3665631972931,0.785,4.1
Algeria,2019,30.6392172353534,63.5858047801217,0.742,2.5
Algeria,2020,30.8424615897551,63.2634495033399,0.73,2.76
Algeria,2021,30.9168972817222,63.0690613740293,0.74,2.76
American Samoa,2019,30.2774402995479,63.6389890258719,,
American Samoa,2020,29.67253800629,63.9620992132472,,8.46
American Samoa,2021,28.8390045708481,64.4418486541392,,8.04
Andorra,2019,13.716516178807,72.4577794922424,0.865,
Andorra,2020,13.4001033858878,72.3830447143965,0.843,7.92
Andorra,2021,13.0405099312818,72.3614948285873,0.855,7.89
Angola,2019,45.1127665227853,52.1792554940819,0.597,6.1
Angola,2020,45.019550533902,52.2548406993395,0.594,6.9
Angola,2021,44.9092503744813,52.3460455098597,0.59,6.95
Antigua and Barbuda,2019,19.4070936424283,71.1197578901859,0.831,0.4
Antigua and Barbuda,2020,19.1053502602182,71.0314003876053,0.82,1.49
Antigua and Barbuda,2021,18.8437340956589,70.877324064148,0.819,1.38
Arab World,2019,33.893031989882125,61.92061270995859,,
Arab World,2020,33.69668677607481,62.03240243234953,,
Arab World,2021,33.516339828479644,62.1445464290153,,
Argentina,2019,24.0972913239252,64.2701694847154,0.853,8.4
Argentina,2020,23.6990914612707,64.5074745533578,0.841,11.01
Argentina,2021,23.2387470933239,64.8426321239199,0.844,10.47
Armenia,2019,20.3005780187581,67.6540902691366,0.789,3.3
Armenia,2020,20.1691865055515,67.4875319646095,0.769,5.6
Armenia,2021,20.0488372753343,67.3509680096337,0.774,5.53
Aruba,2019,18.5363666928163,67.5216668534499,,
Aruba,2020,18.2545705094483,67.1686817100479,,
Aruba,2021,17.9005745737184,66.9699139069153,,
Australia,2019,18.661163799115,65.3937724215717,0.941,12.5
Australia,2020,18.5597082418825,65.1015714818381,0.948,12.87
Australia,2021,18.4234342046625,64.8273784315574,0.949,12.86
Austria,2019,14.422845223827,66.6368554183168,0.92,14.6
Austria,2020,14.3931589250796,66.4370522356064,0.916,14.92
Austria,2021,14.3606656208757,66.1764816581673,0.92,14.34
Azerbaijan,2019,23.5467769812991,69.825581884135,0.762,4.1
Azerbaijan,2020,23.3899641809398,69.7266672756005,0.722,2.48
Azerbaijan,2021,23.1453170471012,69.708000115884,0.738,2.5
Bahamas,2019,,,0.802,3.5
Bahamas,2020,,,0.798,2.61
Bahamas,2021,,,0.799,2.61
"Bahamas, The",2019,19.8496482544477,69.3259888845112,,
"Bahamas, The",2020,19.4868167608703,69.5367709747703,,
"Bahamas, The",2021,19.1382864120412,69.7697623198351,,
Bahrain,2019,20.1004529604647,76.895078686694,0.888,8.9
Bahrain,2020,19.8945840303639,76.8265235048484,0.884,4.31
Bahrain,2021,19.2911533673578,77.2446859974956,0.884,4.28
Bangladesh,2019,29.4761618478294,64.8612797816401,0.646,3.7
Bangladesh,2020,29.2584546885536,64.9064095313604,0.657,3.7
Bangladesh,2021,29.0745008042507,64.9516858651805,0.662,3.67
Barbados,2019,18.2400896135416,67.4642390405661,0.806,0.6
Barbados,2020,18.0613635879559,67.167676021839,0.803,4.79
Barbados,2021,17.9002752116365,66.8376180459442,0.803,4.67
Belarus,2019,16.9734318649001,67.6546230933346,0.81,21.2
Belarus,2020,17.0467976281325,67.2194165637181,0.8,20.14
Belarus,2021,17.0730697578141,66.8571610783922,0.801,20.44
Belgium,2019,16.8907407765187,64.0794211416653,0.936,18.3
Belgium,2020,16.8003901523617,63.9755896544114,0.93,15.93
Belgium,2021,16.6827638797465,63.8651840723626,0.938,17.3
Belize,2019,29.4165672053775,66.2083023934209,0.718,7.1
Belize,2020,28.8946205523635,66.6198410231019,0.705,5.03
Belize,2021,28.3162997522427,67.0852024742852,0.698,5.09
Benin,2019,42.8769823886765,54.0897463650396,0.506,7.8
Benin,2020,42.6531783942503,54.3068570880759,0.501,5.38
Benin,2021,42.3988645100648,54.5541005696013,0.502,5.32
Bermuda,2019,14.6185283978349,67.1486733118068,,
Bermuda,2020,14.4885216364822,66.6886707464819,,3.72
Bermuda,2021,14.3330033411706,66.2224662789259,,3.99
Bhutan,2019,24.1635330481261,69.9085018252565,0.668,4.6
Bhutan,2020,23.3734542328242,70.6085407126698,0.675,5.74
Bhutan,2021,22.6702465627646,71.2031146127722,0.677,5.75
Bolivia,2019,31.2971112127176,63.0065128086121,0.715,6.2
Bolivia,2020,31.0202276101753,63.326175000896,0.691,5.55
Bolivia,2021,30.7897110747146,63.6895244714713,0.691,5.53
Bosnia and Herzegovina,2019,13.6840676806954,66.6702435755379,0.78,10.9
Bosnia and Herzegovina,2020,13.5633554432472,66.193927015007,0.776,11.52
Bosnia and Herzegovina,2021,13.4819559571421,65.8403513813568,0.776,10.7
Botswana,2019,33.2697635547277,62.8846829208051,0.703,16.1
Botswana,2020,32.8742396899945,63.2353062384254,0.701,9.76
Botswana,2021,32.5854419461985,63.545526112348,0.68,9.72
Brazil,2019,21.0598118773538,69.6671137738846,0.764,6.9
Brazil,2020,20.7566949222876,69.6446402012395,0.758,7.75
Brazil,2021,20.4706372304111,69.6182628596073,0.756,7.78
British Virgin Islands,2019,17.5150091359958,74.4343238676174,,
British Virgin Islands,2020,16.9963241729389,74.6785334392546,,
British Virgin Islands,2021,16.4865972837514,74.9375157037253,,
Brunei,2019,,,0.827,2.7
Brunei,2020,,,0.827,4.33
Brunei,2021,,,0.824,4.05
Brunei Darussalam,2019,21.9466657630794,72.7649769585253,,
Brunei Darussalam,2020,21.5994063524313,72.7870926356186,,
Brunei Darussalam,2021,21.3389695619304,72.7380094549616,,
Bulgaria,2019,14.3870039419572,64.1335371141353,0.813,9.7
Bulgaria,2020,14.4317525598343,63.8814581406739,0.802,13.45
Bulgaria,2021,14.4832752684931,63.8135029889597,0.796,13.3
Burkina Faso,2019,44.5027699590484,52.9380433430521,0.446,7.5
Burkina Faso,2020,44.0467375814525,53.3844208698114,0.446,6.6
Burkina Faso,2021,43.5166435760678,53.904178280731,0.445,6.56
Burundi,2019,47.3474188162847,50.2513129688442,0.423,6.2
Burundi,2020,46.9567456255177,50.6081895938159,0.419,7.14
Burundi,2021,46.5191285028635,51.0189922371954,0.419,7.13
Cabo Verde,2019,28.3753870812131,65.8103224250346,,
Cabo Verde,2020,28.3955354740183,65.6218093007396,,
Cabo Verde,2021,27.9920216626762,65.871800777704,,
Cambodia,2019,31.3236501189469,63.4032719741108,0.596,4.9
Cambodia,2020,31.0778017734446,63.483461320243,0.596,4.53
Cambodia,2021,30.7812858676309,63.6239992263601,0.596,4.54
Cameroon,2019,42.7437265484975,54.4719742477239,0.586,9.0
Cameroon,2020,42.5437699571295,54.6793776767362,0.585,7.2
Cameroon,2021,42.3158091569294,54.9180882270139,0.581,7.16
Canada,2019,15.9834514706633,66.4846890068848,0.932,11.8
Canada,2020,15.8763047751721,66.1382867429556,0.928,12.84
Canada,2021,15.7430879139749,65.7746528539238,0.934,12.51
Cape Verde,2019,,,0.667,12.9
Cape Verde,2020,,,0.649,15.02
Cape Verde,2021,,,0.65,15.06
Caribbean small states,2019,23.015963930345663,68.39677999628634,,
Caribbean small states,2020,22.858751235464343,68.22210586551647,,
Caribbean small states,2021,22.645204884142185,68.18034184405265,,
Cayman Islands,2019,16.7681613617122,76.0682935523638,,
Cayman Islands,2020,16.4716930311788,76.0812119182639,,
Cayman Islands,2021,16.3456120957102,75.8905965838177,,
Central African Republic,2019,49.0201283049631,48.7913178211798,0.391,12.3
Central African Republic,2020,48.9114124904993,48.887967352272,0.389,11.74
Central African Republic,2021,49.0033156628391,48.7749163748753,0.387,11.64
Central Europe and the Baltics,2019,15.434854897190688,65.84278686850733,,
Central Europe and the Baltics,2020,15.485829483718671,65.35969340761112,,
Central Europe and the Baltics,2021,15.486876991581966,65.0198349101641,,
Chad,2019,48.1220928242913,49.8294508859726,0.398,6.4
Chad,2020,47.9659011352258,49.9863654933715,0.396,5.44
Chad,2021,47.6821746087752,50.2705463880168,0.393,5.43
Channel Islands,2019,15.0908596957257,66.3239555662883,,
Channel Islands,2020,14.9438597652126,66.1901338763381,,
Channel Islands,2021,14.7930023209649,66.1007190792906,,
Chile,2019,18.7029345739791,68.97100513477,0.859,9.0
Chile,2020,18.4128141664409,68.9603700944275,0.849,10.41
Chile,2021,18.0965848962091,68.9469814817118,0.856,10.61
China,2019,18.1974813802408,69.74115264804,0.775,8.1
China,2020,17.9548374596279,69.3999249325134,0.781,9.04
China,2021,17.5818540220458,69.2124049434275,0.785,9.17
Colombia,2019,22.1227454885225,69.6869318607033,0.768,3.9
Colombia,2020,21.6647057902778,69.8711687670931,0.756,6.77
Colombia,2021,21.2984499241802,69.9880002555668,0.752,6.74
Comoros,2019,38.5632448403083,56.9788374452375,0.584,5.4
Comoros,2020,38.2677596275572,57.2645102899845,0.588,6.28
Comoros,2021,38.0040565918395,57.5402924437269,0.585,6.3
"Congo, Dem. Rep.",2019,45.9777080255743,50.9289970562073,,
"Congo, Dem. Rep.",2020,46.0525923753014,50.8613314066326,,
"Congo, Dem. Rep.",2021,46.0943099215633,50.832061912679,,
"Congo, Rep.",2019,41.9421254015508,55.3301240719353,,
