Country Name,GDP_per_capita,Suicide_rate,HDI_2023,GDP_per_capita_coverage,Suicide_rate_coverage,Low_data_quality_flag,HDI_sq,log_GDP_per_capita,HDI_2023_lag1,GDP_per_capita_lag1,Suicide_rate_lag1,income_group_auto,ISO3,continent,coverage_frac
Afghanistan,485.022544338633,3.545,0.496,1.0,0.8,✅ Sufficient data,0.24601599999999998,6.184195373029613,,,,Low,AFG,Asia,1.0
Albania,4702.593150952894,3.4299999999999997,0.81,1.0,0.8,✅ Sufficient data,0.6561000000000001,8.455869369794069,,,,Lower-Middle,ALB,Europe,1.0
Algeria,4550.9133539963495,2.0025,0.763,1.0,0.8,✅ Sufficient data,0.582169,8.423083228942046,,,,Lower-Middle,DZA,Africa,1.0
Andorra,37966.89712292873,5.699166666666667,0.913,1.0,0.0,⚠️ Low data reliability,0.8335690000000001,10.544469930711745,,,,High,AND,Europe,1.0
Angola,2528.2065526619567,7.547499999999999,0.616,1.0,0.8,✅ Sufficient data,0.379456,7.835265457887051,,,,Lower-Middle,AGO,Africa,1.0
Antigua and Barbuda,17011.981287785093,0.5575,0.851,1.0,0.8,✅ Sufficient data,0.724201,9.741673156430824,,,,Upper-Middle,ATG,America,1.0
Argentina,12577.970303337312,8.667499999999999,0.865,1.0,0.8,✅ Sufficient data,0.748225,9.439702174100288,,,,Upper-Middle,ARG,America,1.0
Armenia,4291.837438532645,2.415,0.811,1.0,0.8,✅ Sufficient data,0.6577210000000001,8.364470227574918,,,,Lower-Middle,ARM,Asia,1.0
Australia,59174.9250323034,13.3725,0.958,1.0,0.8,✅ Sufficient data,0.9177639999999999,10.988253167500154,,,,High,AUS,Oceania,1.0
Austria,45699.042194504946,14.6975,0.93,1.0,0.8,✅ Sufficient data,0.8649000000000001,10.729832618117912,,,,High,AUT,Europe,1.0
Azerbaijan,5329.110062408816,2.105,0.789,1.0,0.8,✅ Sufficient data,0.6225210000000001,8.58093953556611,,,,Lower-Middle,AZE,Asia,1.0
"Bahamas, The",29749.50440401837,3.3525,0.82,1.0,0.8,✅ Sufficient data,0.6723999999999999,10.300567752146561,,,,High,BHS,America,1.0
Bahrain,24368.313234096808,5.37,0.899,1.0,0.8,✅ Sufficient data,0.8082010000000001,10.101038929373438,,,,High,BHR,Asia,1.0
Bangladesh,1627.5108161614378,2.9400000000000004,0.685,1.0,0.8,✅ Sufficient data,0.46922500000000006,7.3948070199355636,,,,Low,BGD,Asia,1.0
Barbados,17853.124171119747,4.145,0.811,1.0,0.8,✅ Sufficient data,0.6577210000000001,9.789933795485085,,,,Upper-Middle,BRB,America,1.0
Belarus,6269.997382956399,17.0175,0.824,1.0,0.8,✅ Sufficient data,0.6789759999999999,8.743531216235555,,,,Lower-Middle,BLR,Europe,1.0
Belgium,42740.503514460965,17.985,0.951,1.0,0.8,✅ Sufficient data,0.9044009999999999,10.66290230967555,,,,High,BEL,Europe,1.0
Belize,5742.746890584008,4.62,0.721,1.0,0.8,✅ Sufficient data,0.519841,8.655692927210499,,,,Lower-Middle,BLZ,America,1.0
Benin,1141.441114743784,7.112500000000001,0.515,1.0,0.8,✅ Sufficient data,0.265225,7.040046878781859,,,,Low,BEN,Africa,1.0
Bhutan,3283.1994209410136,4.96,0.698,1.0,0.8,✅ Sufficient data,0.4872039999999999,8.096573659166074,,,,Lower-Middle,BTN,Asia,1.0
Bolivia,3148.045339935347,4.9375,0.733,1.0,0.8,✅ Sufficient data,0.537289,8.054537012208463,,,,Lower-Middle,BOL,America,1.0
