Country Name,ISO3,Year,log_GDP_per_capita,income_group_auto,continent,Low_data_quality_flag,HDI_sq,Suicide_rate_lag1,HDI_lag1,Low_data_quality_flag_panel,HDI,HDI_imputed,HDI_imputed_method,Suicide_rate,Suicide_rate_imputed,Suicide_rate_imputed_method,GDP_per_capita,GDP_per_capita_imputed,GDP_per_capita_imputed_method,HDI_growth,Suicide_change,Suicide_per_HDI
Afghanistan,AFG,2019,6.184195373029613,Low,Asia,✅ Sufficient data,0.242064,,0.449,⚠️ Low data reliability,0.492,False,original,3.63,True,interpolated,485.022544338633,False,original,0.0429999999999999,0.0,7.378048780487805
Afghanistan,AFG,2020,6.184195373029613,Low,Asia,✅ Sufficient data,0.238144,,0.492,✅ Sufficient data,0.488,False,original,3.63,False,original,485.022544338633,False,original,-0.004,0.0,7.438524590163935
Afghanistan,AFG,2021,6.184195373029613,Low,Asia,✅ Sufficient data,0.2237289999999999,3.63,0.488,✅ Sufficient data,0.473,False,original,3.6,False,original,485.022544338633,False,original,-0.015,-0.0299999999999998,7.610993657505286
Afghanistan,AFG,2022,6.184195373029613,Low,Asia,✅ Sufficient data,0.213444,3.6,0.473,⚠️ Low data reliability,0.462,False,original,3.6,True,interpolated,485.022544338633,False,original,-0.0109999999999999,0.0,7.792207792207792
Afghanistan,AFG,2023,6.184195373029613,Low,Asia,✅ Sufficient data,0.2460159999999999,,0.462,⚠️ Low data reliability,0.496,False,original,3.6,True,interpolated,485.022544338633,False,original,0.0339999999999999,0.0,7.258064516129033
Angola,AGO,2019,7.835265457887051,Lower-Middle,Africa,✅ Sufficient data,0.356409,,0.516,⚠️ Low data reliability,0.597,False,original,6.9,True,interpolated,2528.2065526619567,False,original,0.0809999999999999,0.0,11.55778894472362
Angola,AGO,2020,7.835265457887051,Lower-Middle,Africa,✅ Sufficient data,0.352836,,0.597,✅ Sufficient data,0.594,False,original,6.9,False,original,2528.2065526619567,False,original,-0.003,0.0,11.616161616161618
Angola,AGO,2021,7.835265457887051,Lower-Middle,Africa,✅ Sufficient data,0.3480999999999999,6.9,0.594,✅ Sufficient data,0.59,False,original,6.95,False,original,2528.2065526619567,False,original,-0.004,0.0499999999999998,11.779661016949154
Angola,AGO,2022,7.835265457887051,Lower-Middle,Africa,✅ Sufficient data,0.3492809999999999,6.95,0.59,⚠️ Low data reliability,0.591,False,original,6.95,True,interpolated,2528.2065526619567,False,original,0.001,0.0,11.759729272419628
Angola,AGO,2023,7.835265457887051,Lower-Middle,Africa,✅ Sufficient data,0.379456,,0.591,⚠️ Low data reliability,0.616,False,original,6.95,True,interpolated,2528.2065526619567,False,original,0.025,0.0,11.282467532467534
Albania,ALB,2019,8.455869369794069,Lower-Middle,Europe,✅ Sufficient data,0.6400000000000001,,0.766,⚠️ Low data reliability,0.8,False,original,4.02,True,interpolated,4702.593150952894,False,original,0.034,0.0,5.025
Albania,ALB,2020,8.455869369794069,Lower-Middle,Europe,✅ Sufficient data,0.6146560000000001,,0.8,✅ Sufficient data,0.784,False,original,4.02,False,original,4702.593150952894,False,original,-0.016,0.0,5.127551020408163
Albania,ALB,2021,8.455869369794069,Lower-Middle,Europe,✅ Sufficient data,0.616225,4.02,0.784,✅ Sufficient data,0.785,False,original,4.1,False,original,4702.593150952894,False,original,0.001,0.08,5.222929936305732
Albania,ALB,2022,8.455869369794069,Lower-Middle,Europe,✅ Sufficient data,0.6225210000000001,4.1,0.785,⚠️ Low data reliability,0.789,False,original,4.1,True,interpolated,4702.593150952894,False,original,0.004,0.0,5.196451204055766
Albania,ALB,2023,8.455869369794069,Lower-Middle,Europe,✅ Sufficient data,0.6561000000000001,,0.789,⚠️ Low data reliability,0.81,False,original,4.1,True,interpolated,4702.593150952894,False,original,0.021,0.0,5.061728395061728
Andorra,AND,2019,10.544469930711744,High,Europe,⚠️ Low data reliability,0.748225,,0.863,⚠️ Low data reliability,0.865,False,original,7.92,True,interpolated,37966.89712292873,False,original,0.002,0.0,9.15606936416185
Andorra,AND,2020,10.544469930711744,High,Europe,⚠️ Low data reliability,0.710649,,0.865,✅ Sufficient data,0.843,False,original,7.92,False,original,37966.89712292873,False,original,-0.022,0.0,9.395017793594306
Andorra,AND,2021,10.544469930711744,High,Europe,⚠️ Low data reliability,0.7310249999999999,7.92,0.843,✅ Sufficient data,0.855,False,original,7.89,False,original,37966.89712292873,False,original,0.012,-0.0300000000000002,9.228070175438596
Andorra,AND,2022,10.544469930711744,High,Europe,⚠️ Low data reliability,0.781456,7.89,0.855,⚠️ Low data reliability,0.884,False,original,7.89,True,interpolated,37966.89712292873,False,original,0.029,0.0,8.925339366515837
Andorra,AND,2023,10.544469930711744,High,Europe,⚠️ Low data reliability,0.8335690000000001,,0.884,⚠️ Low data reliability,0.913,False,original,7.89,True,interpolated,37966.89712292873,False,original,0.029,0.0,8.641840087623219
